iter	Passed	Remaining
423	2107	2862
424	2111	2856
425	2114	2849
426	2119	2843
427	2127	2842
428	2131	2837
429	2135	2830
430	2139	2825
431	2143	2818
432	2148	2813
433	2153	2807
434	2159	2804
435	2163	2799
436	2167	2792
437	2173	2788
438	2181	2787
439	2185	2782
440	2191	2778
441	2196	2772
442	2200	2766
443	2204	2760
444	2209	2755
445	2214	2750
446	2219	2746
447	2225	2742
448	2229	2736
449	2233	2729
450	2237	2723
451	2242	2718
452	2245	2712
453	2250	2706
454	2255	2701
455	2261	2697
456	2266	2693
457	2271	2688
458	2275	2682
459	2279	2675
460	2283	2670
461	2289	2665
462	2293	2660
463	2297	2654
464	2308	2656
465	2313	2650
466	2318	2645
467	2323	2641
468	2327	2635
469	2332	2630
470	2337	2625
471	2342	2620
472	2346	2614
473	2356	2614
474	2361	2610
475	2367	2606
476	2373	2602
477	2377	2596
478	2384	2593
479	2390	2589
480	2394	2583
481	2400	2579
482	2404	2573
483	2409	2568
484	2417	2566
485	2423	2563
486	2428	2558
487	2433	2553
488	2437	2547
489	2441	2541
490	2447	2536
491	2452	2532
492	2456	2526
493	2462	2522
494	2468	2518
495	2472	2512
496	2477	2507
497	2483	2503
498	2488	2498
499	2493	2493
500	2498	2488
501	2512	2492
502	2518	2488
503	2522	2482
504	2527	2477
505	2531	2471
506	2536	2466
507	2540	2460
508	2546	2456
509	2552	2452
510	2556	2446
511	2563	2443
512	2567	2437
513	2572	2432
514	2577	2427
515	2582	2422
516	2588	2417
517	2593	2413
518	2598	2407
519	2604	2404
520	2610	2400
521	2616	2396
522	2622	2391
523	2627	2387
524	2632	2382
525	2637	2376
526	2644	2373
527	2651	2370
528	2656	2365
529	2662	2360
530	2666	2355
531	2671	2350
532	2676	2345
533	2681	2340
534	2685	2334
535	2692	2330
536	2699	2327
537	2703	2321
538	2708	2316
539	2713	2311
540	2717	2305
541	2721	2299
542	2725	2293
543	2729	2287
544	2733	2281
545	2737	2275
546	2741	2270
547	2746	2265
548	2750	2259
549	2755	2254
550	2760	2249
551	2764	2243
552	2768	2238
553	2774	2233
554	2778	2228
555	2783	2222
556	2787	2217
557	2791	2211
558	2795	2205
559	2802	2201
560	2808	2197
561	2813	2192
562	2817	2187
563	2821	2181
564	2825	2175
565	2830	2170
566	2835	2165
567	2840	2160
568	2846	2156
569	2851	2150
570	2856	2146
571	2860	2140
572	2865	2135
573	2871	2131
574	2876	2125
575	2879	2119
576	2883	2114
577	2890	2110
578	2895	2105
579	2901	2101
580	2905	2095
581	2909	2089
582	2913	2084
583	2918	2078
584	2922	2073
585	2926	2067
586	2931	2062
587	2936	2057
588	2940	2051
589	2944	2046
590	2954	2044
591	2958	2039
592	2964	2034
593	2969	2029
594	2974	2024
595	2979	2019
596	2983	2013
597	2987	2008
598	2991	2002
599	2998	1998
600	3003	1994
601	3008	1988
602	3012	1983
603	3016	1977
604	3020	1972
605	3024	1966
606	3030	1961
607	3034	1956
608	3039	1951
609	3045	1947
610	3049	1941
611	3053	1935
612	3057	1930
613	3062	1925
614	3066	1919
615	3070	1914
616	3075	1909
617	3080	1903
618	3086	1899
619	3091	1894
620	3097	1890
621	3101	1884
622	3105	1879
623	3110	1874
624	3114	1868
625	3119	1863
626	3123	1857
627	3128	1853
628	3134	1849
629	3139	1843
630	3143	1838
631	3148	1833
632	3152	1827
633	3158	1823
634	3163	1818
635	3167	1812
636	3171	1807
637	3177	1802
638	3181	1797
639	3186	1792
640	3192	1787
641	3196	1782
642	3200	1777
643	3205	1771
644	3208	1766
645	3213	1760
646	3217	1755
647	3223	1750
648	3228	1745
649	3232	1740
650	3239	1736
651	3243	1731
652	3247	1725
653	3251	1720
654	3256	1715
655	3261	1710
656	3265	1704
657	3269	1699
658	3273	1693
659	3278	1688
660	3285	1685
661	3291	1680
662	3296	1675
663	3300	1670
664	3304	1664
665	3308	1659
666	3312	1654
667	3317	1648
668	3323	1644
669	3328	1639
670	3333	1634
671	3337	1629
672	3342	1624
673	3347	1619
674	3353	1614
675	3358	1609
676	3362	1604
677	3368	1599
678	3374	1595
679	3379	1590
680	3384	1585
681	3389	1580
682	3393	1575
683	3398	1569
684	3402	1564
685	3406	1559
686	3410	1553
687	3416	1549
688	3420	1544
689	3424	1538
690	3429	1533
691	3436	1529
692	3440	1524
693	3444	1518
694	3449	1513
695	3454	1508
696	3458	1503
697	3462	1498
698	3467	1493
699	3471	1487
700	3477	1483
701	3483	1478
702	3487	1473
703	3492	1468
704	3496	1463
705	3500	1457
706	3505	1452
707	3509	1447
708	3514	1442
709	3519	1437
710	3525	1433
711	3529	1427
712	3533	1422
713	3537	1416
714	3541	1411
715	3546	1406
716	3551	1401
717	3555	1396
718	3560	1391
719	3564	1386
720	3570	1381
721	3575	1376
722	3581	1372
723	3585	1366
724	3589	1361
725	3593	1356
726	3597	1351
727	3601	1345
728	3606	1340
729	3613	1336
730	3619	1331
731	3624	1326
732	3628	1321
733	3632	1316
734	3636	1311
735	3646	1307
736	3650	1302
737	3654	1297
738	3659	1292
739	3664	1287
740	3669	1282
741	3675	1278
742	3679	1272
743	3683	1267
744	3688	1262
745	3693	1257
746	3697	1252
747	3701	1247
748	3707	1242
749	3712	1237
750	3716	1232
751	3723	1227
752	3728	1223
753	3733	1218
754	3739	1213
755	3744	1208
756	3748	1203
757	3753	1198
758	3757	1193
759	3762	1188
760	3770	1184
761	3775	1179
762	3780	1174
763	3784	1169
764	3789	1164
765	3793	1158
766	3798	1153
767	3803	1149
768	3809	1144
769	3815	1139
770	3820	1134
771	3825	1129
772	3829	1124
773	3834	1119
774	3839	1114
775	3844	1109
776	3849	1104
777	3854	1099
778	3860	1095
779	3865	1090
780	3872	1085
781	3879	1081
782	3885	1076
783	3890	1071
784	3894	1066
785	3900	1061
786	3904	1056
787	3909	1051
788	3915	1047
789	3929	1044
790	3934	1039
791	3939	1034
792	3943	1029
793	3948	1024
794	3953	1019
795	3958	1014
796	3965	1009
797	3970	1005
798	3975	999
799	3979	994
800	3983	989
801	3988	984
802	3993	979
803	3999	974
804	4018	973
805	4022	968
806	4026	963
807	4032	958
808	4037	953
809	4041	947
810	4045	942
811	4049	937
812	4055	932
813	4060	927
814	4065	922
815	4069	917
816	4073	912
817	4078	907
818	4082	902
819	4086	897
820	4090	891
821	4096	887
822	4101	882
823	4105	876
824	4111	872
825	4116	867
826	4120	861
827	4126	857
828	4130	852
829	4134	846
830	4139	841
831	4144	836
832	4148	831
833	4153	826
834	4161	822
835	4166	817
836	4170	812
837	4174	806
838	4178	801
839	4182	796
840	4185	791
841	4191	786
842	4196	781
843	4199	776
844	4204	771
845	4212	766
846	4219	762
847	4225	757
848	4230	752
849	4233	747
850	4238	742
851	4243	737
852	4251	732
853	4256	727
854	4261	722
855	4265	717
856	4270	712
857	4274	707
858	4278	702
859	4282	697
860	4286	691
861	4292	687
862	4298	682
863	4302	677
864	4307	672
865	4312	667
866	4316	662
867	4322	657
868	4326	652
869	4331	647
870	4336	642
871	4340	637
872	4344	632
873	4349	626
874	4356	622
875	4361	617
876	4367	612
877	4371	607
878	4375	602
879	4379	597
880	4383	592
881	4388	587
882	4393	582
883	4399	577
884	4403	572
885	4408	567
